f l I N	f l ʌ N
d u	d I d
s e	s E d
g o	w E n t
g E t	g a t
n o	n u
s i	s ɔ
T I N k	T ɔ t
k ʌ m	k e m
t e k	t U k
l U k	l U k t
g I v	g e v
w ɔ n t	w ɔ n t ɨ d
f Y n d	f W n d
t E l	t o l d
s i m	s i m d
f i l	f E l t
b I k ʌ m	b I k e m
æ s k	æ s k t
p U t	p U t
j u z	j u z d
l i v	l E f t
t r Y	t r Y d
m i n	m E n t
k ɔ l	k ɔ l d
b I g I n	b I g æ n
k i p	k E p t
t R n	t R n d
n i d	n i d ɨ d
w R k	w R k t
l I v	l I v d
b r I N	b r ɔ t
t ɔ k	t ɔ k t
h i r	h R d
s I t	s æ t
S o	S o d
h o l d	h E l d
r Y t	r o t
C e n J	C e n J d
s t a r t	s t a r t ɨ d
r ʌ n	r æ n
h æ p ɨ n	h æ p ɨ n d
l E t	l E t
m u v	m u v d
b ɨ l i v	b ɨ l i v d
p l e	p l e d
h E l p	h E l p t
r i d	r E d
s p i k	s p o k
r I m E m b R	r I m E m b R d
p e	p e d
g r o	g r u
l u z	l ɔ s t
s t a p	s t a p t
l Y k	l Y k t
w e t	w e t ɨ d
s E t	s E t
k e r i	k e r i d
w ɔ k	w ɔ k t
l R n	l R n d
l R n	l R n t
l Y	l e
f a l o	f a l o d
l i d	l E d
f ɔ l	f E l
ɨ p i r	ɨ p i r d
i t	e t
I k s p E k t	I k s p E k t ɨ d
s p E n d	s p E n t
s E n d	s E n t
ɨ l W	ɨ l W d
k ɨ n t I n j u	k ɨ n t I n j u d
r I m e n	r I m e n d
p æ s	p æ s t
p r ɨ v Y d	p r ɨ v Y d ɨ d
b Y	b ɔ t
r i C	r i C t
d I v E l ɨ p	d I v E l ɨ p t
s t e	s t e d
w a C	w a C t
d I s Y d	d I s Y d ɨ d
p r ɨ d u s	p r ɨ d u s t
w e r	w o r
b I l d	b I l t
d Y	d Y d
l ʌ v	l ʌ v d
æ d	æ d ɨ d
m i t	m E t
I n k r i s	I n k r i s t
o p ɨ n	o p ɨ n d
s ɨ g J E s t	s ɨ g J E s t ɨ d
b r e k	b r o k
h o p	h o p t
s ɨ p o z	s ɨ p o z d
r I t R n	r I t R n d
d r Y v	d r o v
d r ɔ	d r u
I n v a l v	I n v a l v d
k I l	k I l d
