base	derivative	spelling.base	spelling.past	base.rating	category	exp1.production	exp2.production	total.production	rating	Rating Residuals	MGL	GCM
b aɪ̯ z	b aɪ̯ z d	bize	bized	4.57	IOR both	0.778	0.571	0.667	5.30	5.32	6.06	5.87
b aɪ̯ z	b oʊ̯ z	bize	boze	4.57	IOR both	0.056	0.381	0.231	4.57	4.55	4.11	4.04
b l eɪ̯ f	b l eɪ̯ f t	blafe	blafed	3.57	IOR regular	1	0.818	0.892	6.32	6.67	6.22	5.15
b l eɪ̯ f	b l ɛ f t	blafe	bleft	3.57	IOR regular	0	0.045	0.027	4.09	3.86	3.94	3.85
b l ɪ ɡ	b l ɪ ɡ d	blig	bligged	3.71	IOR irregular	0.941	0.652	0.775	5.67	5.95	5.66	5.44
b l ɪ ɡ	b l ʌ ɡ	blig	blug	3.71	IOR irregular	0	0.13	0.075	4.17	3.97	5.19	4.08
b r ɛ ʤ	b r ɛ ʤ d	bredge	bredged	3.86	IOR regular	0.95	0.905	0.927	6.33	6.60	6.16	5.85
b r ɛ ʤ	b r oʊ̯ ʤ	bredge	broge	3.86	IOR regular	0.05	0.048	0.049	3.43	3.25	3.94	3.85
ʧ eɪ̯ k	ʧ eɪ̯ k d	chake	chaked	5.33	IOR irregular	0.95	0.818	0.881	5.74	5.55	4.77	5.65
ʧ eɪ̯ k	ʧ ʊ k	chake	chook	5.33	IOR irregular	0	0	0	5.04	5.19	5.13	4.17
ʧ u l	ʧ oʊ̯ l	chool	chole	3.76	IOR regular	0	0.043	0.023	3.71	3.51	3.94	4.05
ʧ u l	ʧ u l d	chool	chooled	3.76	IOR regular	1	0.957	0.977	6.13	6.41	6.12	6.38
d eɪ̯ p	d eɪ̯ p t	dape	daped	5.14	IOR regular	1	0.957	0.976	6.25	6.14	6.14	5.56
d eɪ̯ p	d æ p t	dape	dapt	5.14	IOR regular	0	0	0	4.00	4.09	3.94	3.85
d aɪ̯ z	d aɪ̯ z d	dize	dized	4.62	IOR both	0.889	0.762	0.821	5.42	5.42	6.06	5.95
d aɪ̯ z	d oʊ̯ z	dize	doze	4.62	IOR both	0.111	0.19	0.154	5.04	5.04	4.73	4.18
d r aɪ̯ s	d r aɪ̯ s t	drice	driced	3.86	IOR both	1	0.913	0.953	6.26	6.52	6.22	5.51
d r aɪ̯ s	d r oʊ̯ s	drice	droce	3.86	IOR both	0	0.087	0.047	4.48	4.31	5.15	4.28
d r ɪ t	d r æ t	drit	drat	4.3	IOR irregular	0	0.182	0.098	3.65	3.57	4.06	3.99
d r ɪ t	d r ɪ t	drit	drit	4.3	IOR irregular	0.053	0.091	0.073	5.13	5.07	4.62	4.11
d r ɪ t	d r ɪ t ə d	drit	dritted	4.3	IOR irregular	0.842	0.591	0.707	4.96	5.04	5.43	5.29
f l i p	f l i p t	fleep	fleeped	4.24	IOR irregular	1	0.478	0.721	5.00	5.10	5.69	5.56
f l i p	f l ɛ p t	fleep	flept	4.24	IOR irregular	0	0.435	0.233	6.09	6.02	5.15	4.40
f l ɛ t	f l ɛ t	flet	flet	4.24	Few form analogy	0.111	0.474	0.297	5.65	5.58	5.22	4.30
f l ɛ t	f l ɛ t ə d	flet	fletted	4.24	Few form analogy	0.889	0.368	0.622	4.50	4.58	5.43	5.39
f l ɪ ʤ	f l ɪ ʤ d	flidge	flidged	4.05	IOR both	0.947	0.783	0.857	6.21	6.41	6.16	5.46
f l ɪ ʤ	f l ʌ ʤ	flidge	fludge	4.05	IOR both	0	0.043	0.024	4.88	4.76	4.22	4.10
f r oʊ̯	f r u	fro	frew	5.84	IOR both	0.05	0.125	0.091	4.33	4.57	4.97	4.38
f r oʊ̯	f r oʊ̯ d	fro	froed	5.84	IOR both	0.95	0.833	0.886	5.83	5.50	5.40	6.16
ɡ ɛ r	ɡ ɛ r d	gare	gared	5.24	IOR both	1	0.955	0.976	6.57	6.44	6.02	6.27
ɡ ɛ r	ɡ oʊ̯ r	gare	gore	5.24	IOR both	0	0	0	3.39	3.49	4.30	4.23
