base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	F: Ident [voice]	F: Ident [coronal]	F: Ident [labial]
		Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]					0	-1.1364656609851855	0	-0.03263132994129725	-2.9629829662663183	0	0	-0.9569570697709984	0	0	0	-12.437536745015505	0	-0.07497031331048465	0	0	-1.9984014443252818e-14	0	0	-1.9984014443252818e-14	0	0	0	-1.9984014443252818e-14	0	0	-1.9984014443252818e-14	0	0	0	0	0	0
		Insert [S] at -1					-0.002208879426203181	-7.580054145824842	-0.001933885767979704	0	-9.681166260394876	0	0	-1.9365736224099324	0	-0.29243082088949707	0	-0.02359729809876443	-0.406609104079597	0	-0.34974769506007175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [Z] at -1					-0.0010227116361658517	-5.326365246469684	0	-0.0005987587927073212	-0.0006179545874804848	0	-6.279075915612526	-0.15133078537545347	-0.15183890472413208	-0.6392031007476763	-0.24050111921469725	0	-0.11427971521775555	-0.4016780904746893	-0.28036610239673304	-0.33002615738494034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [IH0 Z] at -1					0	0	-10.132690161632679	-11.049007351848092	-0.36053453069027797	0	-0.3767906923234088	-2.325387305621346	0	-0.5788177917459375	-0.13820326523529006	0	-0.09549502188179806	-0.37602366329560694	-0.2597996107454311	-5.805423460326162	-2.0413670753782753e-12	0	0	-2.0413670753782753e-12	0	0	0	-2.0413670753782753e-12	0	0	-2.0413670753782753e-12	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
B EY1 F	-0.075	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B EY1 V Z	0	-0.075	0.6388544722584923	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B EY1 F	-0.646	Insert [S] at -1	B EY1 F S	0	-0.646	0.36092734781748403	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B EY1 F	-7.753	Insert [Z] at -1	B EY1 F Z	-0.33	-8.083	0.00021260414543639798	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B EY1 F	-11.724	Insert [IH0 Z] at -1	B EY1 F IH0 Z	0	-11.724	0.00000557577858712152	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B IY1 TH	-0.108	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B IY1 DH Z	0	-0.108	0.6307726147026033	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
