base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	F: Ident [voice]	F: Ident [coronal]	F: Ident [labial]
		Insert [Z] at -1, Mutate the segment(s) at -2 to [V]					0	-1.6856572424099983	0	-6.117748059943185	-2.8110694733835095	0	0	-1.0533277944209694	0	0	-4.0649217585303346	-12.046519075835622	0	-0.31485027895845374	0	0	-1.660305226636183e-11	0	0	-1.660305226636183e-11	0	0	0	-1.660305226636183e-11	0	0	-1.660305226636183e-11	0	0	0	0	-3.170633800252903	-10.281111680490673
		Insert [S] at -1					-0.002208879426203181	-7.580054145824842	-0.001933885767979704	0	-9.681166260394876	0	0	-1.9365736224099324	0	-0.29243082088949707	0	-0.02359729809876443	-0.406609104079597	0	-0.34974769506007175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [Z] at -1					-0.0010227116361658517	-5.326365246469684	0	-0.0005987587927073212	-0.0006179545874804848	0	-6.279075915612526	-0.15133078537545347	-0.15183890472413208	-0.6392031007476763	-0.24050111921469725	0	-0.11427971521775555	-0.4016780904746893	-0.28036610239673304	-0.33002615738494034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [IH0 Z] at -1					0	0	-10.132690161632679	-11.049007351848092	-0.36053453069027797	0	-0.3767906923234088	-2.325387305621346	0	-0.5788177917459375	-0.13820326523529006	0	-0.09549502188179806	-0.37602366329560694	-0.2597996107454311	-5.805423460326162	-2.0413670753782753e-12	0	0	-2.0413670753782753e-12	0	0	0	-2.0413670753782753e-12	0	0	-2.0413670753782753e-12	0	0	0	0	0	0
		Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]					0	-1.3048888186675853	-10.33590365705065	0	-3.0516341879921165	0	0	-0.8671405498159606	0	0	0	-13.026406408794331	-0.4036887816887346	0	0	0	-2.0826784741245774e-11	0	0	-2.0826784741245774e-11	0	0	0	-2.0826784741245774e-11	0	0	-2.0826784741245774e-11	0	0	0	0	-8.200486547168232	-1.3653590502302946
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
B EY1 F	-0.315	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B EY1 V Z	0	-0.315	0.5818556487952352	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B EY1 F	-0.646	Insert [S] at -1	B EY1 F S	0	-0.646	0.4178917346001927	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B EY1 F	-7.753	Insert [Z] at -1	B EY1 F Z	-0.33	-8.083	0.0002461590002997943	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B EY1 F	-11.724	Insert [IH0 Z] at -1	B EY1 F IH0 Z	0	-11.724	0.000006455791725422559	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B EY1 F	-10.336	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B EY1 DH Z	-9.566	-19.902	1.8125468375271834e-9	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B IY1 TH	0	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B IY1 DH Z	0	0	0.6555516099808332	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B IY1 TH	-0.644	Insert [S] at -1	B IY1 TH S	0	-0.644	0.3442874895778136	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B IY1 TH	-7.994	Insert [Z] at -1	B IY1 TH Z	-0.33	-8.324	0.0001590521781494992	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B IY1 TH	-12.779	Insert [IH0 Z] at -1	B IY1 TH IH0 Z	0	-12.779	0.0000018482371868539667	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B IY1 TH	-10.498	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B IY1 V Z	-13.452	-23.95	2.6016810084437868e-11	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B IH1 L TH	-0.404	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B IH1 L DH Z	0	-0.404	0.5734957997604777	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B IH1 L TH	-0.701	Insert [S] at -1	B IH1 L TH S	0	-0.701	0.426132620126745	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B IH1 L TH	-7.427	Insert [Z] at -1	B IH1 L TH Z	-0.33	-7.757	0.0003674201042641908	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B IH1 L TH	-12.238	Insert [IH0 Z] at -1	B IH1 L TH IH0 Z	0	-12.238	0.000004159961800482162	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B IH1 L TH	-10.183	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B IH1 L V Z	-13.452	-23.634999999999998	4.6712717438191114e-11	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B R AH0 L OW1 TH	0	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B R AH0 L OW1 DH Z	0	0	0.655059221816674	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B R AH0 L OW1 TH	-0.642	Insert [S] at -1	B R AH0 L OW1 TH S	0	-0.642	0.34471763978875647	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B R AH0 L OW1 TH	-7.993	Insert [Z] at -1	B R AH0 L OW1 TH Z	0	-7.993	0.000221291519605797	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AH0 L OW1 TH	-12.779	Insert [IH0 Z] at -1	B R AH0 L OW1 TH IH0 Z	0	-12.779	0.0000018468489664583327	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AH0 L OW1 TH	-10.498	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B R AH0 L OW1 V Z	-13.452	-23.95	2.59972687254362e-11	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B R AY1 F	-0.315	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B R AY1 V Z	0	-0.315	0.5818556487952352	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B R AY1 F	-0.646	Insert [S] at -1	B R AY1 F S	0	-0.646	0.4178917346001927	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B R AY1 F	-7.753	Insert [Z] at -1	B R AY1 F Z	-0.33	-8.083	0.0002461590002997943	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AY1 F	-11.724	Insert [IH0 Z] at -1	B R AY1 F IH0 Z	0	-11.724	0.000006455791725422559	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AY1 F	-10.336	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B R AY1 DH Z	-9.566	-19.902	1.8125468375271834e-9	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B R AH1 N L AH0 F	0	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B R AH1 N L AH0 V Z	0	0	0.5726911028058458	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B R AH1 N L AH0 F	-0.294	Insert [S] at -1	B R AH1 N L AH0 F S	0	-0.294	0.42681321577992837	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B R AH1 N L AH0 F	-7.07	Insert [Z] at -1	B R AH1 N L AH0 F Z	0	-7.07	0.00048692093693073146	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AH1 N L AH0 F	-11.088	Insert [IH0 Z] at -1	B R AH1 N L AH0 F IH0 Z	0	-11.088	0.000008759175353055783	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B R AH1 N L AH0 F	-10.336	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B R AH1 N L AH0 DH Z	-9.566	-19.902	1.3019420595990474e-9	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
B AH1 N F	0	Insert [Z] at -1, Mutate the segment(s) at -2 to [V]	B AH1 N V Z	0	0	0.6686027053959744	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
B AH1 N F	-0.703	Insert [S] at -1	B AH1 N F S	0	-0.703	0.3310237153313805	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
B AH1 N F	-7.185	Insert [Z] at -1	B AH1 N F Z	-0.33	-7.515	0.0003642881951608605	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B AH1 N F	-11.184	Insert [IH0 Z] at -1	B AH1 N F IH0 Z	0	-11.184	0.000009290062675138079	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
B AH1 N F	-10.74	Insert [Z] at -1, Mutate the segment(s) at -2 to [DH]	B AH1 N DH Z	-9.566	-20.306	1.0148091632374508e-9	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1
