base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	(F)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	^([-syllabic] ?)* ?([+syllabic] ?)+ ?([-syllabic] ?)*$	[+strident]$	[0strident]$	[-strident]$	[+voice]$	[0voice]$	[-voice]$	[+syllabic]$	[-syllabic]$	(F|TH)$	(TH)$	(F)$	^(?!.*(F|TH)$)	[+sonorant,-syllabic] (F|TH)$	[+syllabic,+stress] (F|TH)$	[+syllabic,+long] (F|TH)$	F: Ident [voice]	F: Ident [coronal]	F: Ident [labial]
		Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]					0	-1.1364649532339492	0	-0.032631330373512124	-2.9629807961089187	0	0	-0.9569563054498482	0	0	0	0	-12.437530862290153	0	-0.07497031145854223	0	0	-1.9983997512514685e-14	0	0	-1.9983997512514685e-14	0	0	0	-1.9983997512514685e-14	0	0	0	-1.9983997512514685e-14	0	0	0	0	0	0
		Insert [S] at -1					-0.0025072958550358534	-7.579664267669135	-0.0005829723492993615	0	-9.681110642058888	0	0	-1.9366031180016958	0	-0.19660613287909603	-0.0779384269598775	-0.11866770591940952	-0.031634759128888655	-0.41250649313061816	0	-0.35092375283584465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [Z] at -1					-0.0010202022862720826	-5.326389200104047	0	-0.0006099818330561425	-0.0005550163992199509	0	-6.2750993628147524	-0.1512531832843851	-0.15175911772821077	-0.5919232794196311	-0.24707901645259575	-0.344844262967035	0	-0.10696496127934281	-0.37205469240540234	-0.2615233543589194	-0.33002615718551764	-1.928122472282322e-12	0	0	-1.928122472282322e-12	0	0	0	-1.928122472282322e-12	0	0	0	-1.928122472282322e-12	0	0	0	0	0	0
		Insert [IH0 Z] at -1					0	0	-10.125181603952203	-11.04946606794369	-0.3610924378827087	0	-0.3773471321296296	-2.3288252715914606	0	-0.5204506429669105	-0.14194072441800937	-0.3785099185488998	0	-0.08628530360915891	-0.3392051745417589	-0.23599263173941346	-5.805420799838526	-4.887201754002035e-13	0	0	-4.887201754002035e-13	0	0	0	-4.887201754002035e-13	0	0	0	-4.887201754002035e-13	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
B EY1 F	-0.075	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B EY1 V Z	0	-0.075	0.6441714867126804	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
B EY1 F	-0.669	Insert [S] at -1	B EY1 F S	0	-0.669	0.35565635665788137	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
B EY1 F	-7.998	Insert [Z] at -1	B EY1 F Z	-0.33	-8.328	0.00016779118390575326	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B EY1 F	-11.977	Insert [IH0 Z] at -1	B EY1 F IH0 Z	0	-11.977	0.000004365445532371251	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B IY1 TH	-0.108	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B IY1 DH Z	0	-0.108	0.6270297308703342	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
B IY1 TH	-0.628	Insert [S] at -1	B IY1 TH S	0	-0.628	0.37278205919063456	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
B IY1 TH	-7.901	Insert [Z] at -1	B IY1 TH Z	-0.33	-8.231	0.00018600047661328074	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B IY1 TH	-12.664	Insert [IH0 Z] at -1	B IY1 TH IH0 Z	0	-12.664	0.000002209462417958089	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B IH1 L TH	-0.033	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B IH1 L DH Z	0	-0.033	0.6583817232025612	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
B IH1 L TH	-0.69	Insert [S] at -1	B IH1 L TH S	0	-0.69	0.34130786147597375	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
B IH1 L TH	-7.374	Insert [Z] at -1	B IH1 L TH Z	-0.33	-7.704	0.0003069055877549623	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B IH1 L TH	-12.175	Insert [IH0 Z] at -1	B IH1 L TH IH0 Z	0	-12.175	0.000003509733710154038	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B R AH0 L OW1 TH	-0.108	Insert [Z] at -1, Mutate the segment(s) at -2 to [+voice]	B R AH0 L OW1 DH Z	0	-0.108	0.6262825729525574	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
B R AH0 L OW1 TH	-0.625	Insert [S] at -1	B R AH0 L OW1 TH S	0	-0.625	0.3734565492284462	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
B R AH0 L OW1 TH	-7.9	Insert [Z] at -1	B R AH0 L OW1 TH Z	0	-7.9	0.0002586709893363363	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
