base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$
		No change					0	0	-0.057040270736653464	0	-0.21093321785700236	-0.00016044929199438007	-0.15804825665365396	0	-0.11481977147164169	-0.11062299839175439	0	-0.12414886638456843	-0.13440698443719146	0	0	-0.30186913393047077	0	0	-0.1055937627281499	-0.05024574759915838	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02803805591950335	0	0	-0.057040270736653464	0	-0.21093321785700236	-0.00016044929199438007	-0.15804825665365396	0	-0.11481977147164169	-0.11062299839175439	0	-0.12414886638456843	-0.13440698443719146	0	0	-0.30186913393047077	0	0	-0.1055937627281499	-0.05024574759915838	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02803805591950335
		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.45251331155102925	-6.218079158708524	0	-7.723056621815753	0	0	0	-6.081785988690437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.551115226280734	-1.642386973878235	-1.7892299045068176	-0.9215037519659213	-0.3128151585483751	-0.372644095956795	-0.2234668344391366	-0.2771882031619328	-0.8424744792452612	-0.08068941668142436	-0.6944044212144013	0	-0.3255631991783392	-3.594072253477134	-0.3255631991783392	0	0	-2.7603847152480934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.462626022328219	-0.4805359556944824	-0.7261099376056993	-1.0836322595080141	-0.22380801967610808	-0.21783452101007697	0	-0.09919414577223414	-0.44164254068618136	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.642	No change	k ʁ a l	-0.642	-1.284	0.8793452212755031	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.694	-1.147	0.12065477872449684	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.697	No change	d a l	-0.697	-1.394	0.867179127490389	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d o	-0.694	-1.147	0.13282087250961105	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.426	No change	f a l	-0.426	-0.852	0.9182079744035079	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.694	-1.147	0.08179202559649207	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-0.642	No change	f ʁ a l	-0.642	-1.284	0.8793452212755031	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
