base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$
		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.45251331155102936	-6.218079158708524	0	-7.723056621815753	0	0	0	-6.081785988690437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.5511152262807335	-1.6423869738782348	-1.7892299045068176	-0.9215037519659215	-0.3128151585483752	-0.3726440959567951	-0.22346683443913662	-0.2771882031619329	-0.8424744792452612	-0.08068941668142439	-0.694404421214401	0	-0.3255631991783392	-3.594072253477134	-0.3255631991783392	0	0	-2.7603847152480934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4626260223282193	-0.48053595569448243	-0.7261099376056993	-1.0836322595080143	-0.22380801967610808	-0.21783452101007694	0	-0.09919414577223412	-0.4416425406861815	0
		No change					0	0	-0.05704027073659901	0	-0.2109332178570556	-0.00016044929204786507	-0.15804825665364505	0	-0.11481977147164647	-0.1106229983917581	0	-0.12414886638457356	-0.13440698443719207	0	0	-0.3018691339304702	0	0	-0.10559376272815522	-0.050245747599161755	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502685	0	0	-0.05704027073659901	0	-0.2109332178570556	-0.00016044929204786507	-0.15804825665364505	0	-0.11481977147164647	-0.1106229983917581	0	-0.12414886638457356	-0.13440698443719207	0	0	-0.3018691339304702	0	0	-0.10559376272815522	-0.050245747599161755	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502685
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.642	No change	k ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
d a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d o	-0.694	-1.147	0.5614379614320929	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.697	No change	d a l	-0.697	-1.394	0.4385620385679072	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.426	No change	f a l	-0.426	-0.852	0.5732197726798348	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.694	-1.147	0.42678022732016513	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
