base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$
		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.4524460548661154	-6.219243577020426	0	-7.724099188444874	0	0	0	-8.187146302896014	0	0	0	0	0	-0.6940983772601551	0	-0.522171013402673	-3.946541771529572	-0.522171013402673	0	0	-3.6471246420151573	0	0	0	0	0
		No change					0	0	-0.06046551338071715	0	-0.21496712470775559	-0.0000018150912589609547	-0.2337577945830743	0	-0.10239924725231685	-0.12034389404729133	0	-0.15335759410103683	-0.06524364618078832	0	0	-0.06046551338071715	0	-0.21496712470775559	-0.0000018150912589609547	-0.2337577945830743	0	-0.10239924725231685	-0.12034389404729133	0	-0.15335759410103683	-0.06524364618078832
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.694	-1.146	0.560699149682253	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.695	No change	k ʁ a l	-0.695	-1.39	0.43930085031774707	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
d a l	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d o	-0.694	-1.146	0.5194901195112457	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.612	No change	d a l	-0.612	-1.224	0.48050988048875426	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0
f a l	-0.509	No change	f a l	-0.509	-1.018	0.5319563807976408	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0
f a l	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.694	-1.146	0.4680436192023592	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.694	-1.146	0.560699149682253	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
