base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$
		No change					0	0	-0.05704027073667084	0	-0.21093321785698374	-0.0001604492919760614	-0.1580482566536445	0	-0.11481977147164638	-0.11062299839175746	0	-0.1241488663845739	-0.134406984437192	0	0	-0.3018691339304712	0	0	-0.10559376272815596	-0.05024574759916211	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502466	0	0	-0.05704027073667084	0	-0.21093321785698374	-0.0001604492919760614	-0.1580482566536445	0	-0.11481977147164638	-0.11062299839175746	0	-0.1241488663845739	-0.134406984437192	0	0	-0.3018691339304712	0	0	-0.10559376272815596	-0.05024574759916211	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502466
		Delete [l] at -2, Mutate [a] at -4 to [o]					-0.6742095216644246	-6.302810955614637	0	-7.795535971974413	0	-6.831182947179852	0	-5.5490963189816505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.61642117497909	-1.0738184799342854	-1.7176466275312092	-0.9429417812567623	-0.3685585954389635	-0.3922933546376058	-0.18365054330330205	-0.3025913544279267	-0.8751573077135185	-0.0643455880010543	-1.7265833962678028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Delete [j] at -2, Mutate [a] at -4 to [o]					0	-6.595867283899343	0	-8.065292601516544	-8.38274352336592	0	0	-5.822103020836005	0	0	0	0	0	0	-0.5370472245350821	0	0	-0.6716694882394535	0	0	0	0	-4.597500646863477	0	-2.233730378161953	-1.9267656538517046	-1.7017635882265727	-0.8755243432768848	-0.1967871512391612	-0.39966409572557626	-0.246300674414458	-0.26101278410184736	-0.7775602159074194	-0.1136532305498853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.642	No change	k ʁ a l	-0.642	-1.284	0.967216397089517	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	k ʁ o	-1.727	-2.4010000000000002	0.032783602910482955	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-8.383	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.383	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.697	No change	d a l	-0.697	-1.394	0.9635433562400512	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	d o	-1.727	-2.4010000000000002	0.03645664375994875	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-8.383	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.383	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
