base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$
		No change					0	0	-0.060465513380596636	0	-0.2149671247078764	-0.000001815091379808731	-0.23375779458307622	0	-0.10239924725231582	-0.12034389404728976	0	-0.1533575941010366	-0.06524364618078843	0	0	-0.060465513380596636	0	-0.2149671247078764	-0.000001815091379808731	-0.23375779458307622	0	-0.10239924725231582	-0.12034389404728976	0	-0.1533575941010366	-0.06524364618078843
		Delete [l] at -2, Mutate [a] at -4 to [o]					-0.6740213186354126	-6.3043262050385085	0	-7.796804591600353	0	-6.831237451525023	0	-7.691249123805324	0	0	0	0	0	-1.7265833962678039	0	0	0	0	0	0	0	0	0	0	0	0
		Delete [j] at -2, Mutate [a] at -4 to [o]					0	-6.5883258515601755	0	-8.127789331340603	-8.511497338842004	0	0	-7.778070104826536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.695	No change	k ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
k ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	k ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.612	No change	d a l	-0.612	-1.224	0.764407967099184	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0
d a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	d o	-1.727	-2.4010000000000002	0.23559203290081612	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.509	No change	f a l	-0.509	-1.018	0.7994723812479857	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0
f a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	f o	-1.727	-2.4010000000000002	0.20052761875201436	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-0.695	No change	f ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
f ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	f ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a l	-0.83	No change	ɡ n a l	-0.83	-1.66	0.67721448998991	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1
ɡ n a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	ɡ n o	-1.727	-2.4010000000000002	0.32278551001009004	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
