base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$
		No change					0	0	-0.05704032145514994	0	-0.21093316712495394	-0.00016039862110566518	-0.15804825732829278	0	-0.11481977105343069	-0.11062299832954366	0	-0.12414886652073341	-0.13440698375000537	0	0	-0.3018691317577772	0	0	-0.10559376206362285	-0.05024574732237563	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055733751188	0	0	-0.05704032145514994	0	-0.21093316712495394	-0.00016039862110566518	-0.15804825732829278	0	-0.11481977105343069	-0.11062299832954366	0	-0.12414886652073341	-0.13440698375000537	0	0	-0.3018691317577772	0	0	-0.10559376206362285	-0.05024574732237563	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055733751188
		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.6552714994525183	-6.221440420950405	0	-7.7069638823510385	0	0	0	-6.07019829765353	0	0	0	0	0	0	-0.13654338335064478	0	0	0	0	0	0	0	0	0	-2.5612187047442676	-1.6467950121475354	-1.7887723901359245	-0.9245514048629266	-0.31507660180001873	-0.36205901016131925	-0.22624569221034535	-0.2751238075344408	-0.8366025824773591	-0.07819665887214093	-0.906583771054898	0	-0.32610824810172845	-3.479371465499732	-0.32610824810172845	0	0	-2.786246212529542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4961705692732048	-0.48910909699246824	-0.7213235112580098	-1.0873983709569008	-0.2268784131092737	-0.21487965836853154	0	-0.09623169703876222	-0.441758071477805	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.642	No change	k ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.697	No change	d a l	-0.697	-1.394	0.5419014940139564	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d o	-0.907	-1.562	0.4580985059860437	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.426	No change	f a l	-0.426	-0.852	0.6704011598088686	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.907	-1.562	0.3295988401911314	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a l	-0.642	No change	f ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
