base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [+low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [+low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	[-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+voice] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,-continuant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-sonorant,+continuant] [+low,+syllabic] [-syllabic]$	[+coronal] [-low,+syllabic] [-syllabic]$	[+dorsal] [-low,+syllabic] [-syllabic]$	[+labial] [-low,+syllabic] [-syllabic]$	[+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [+coronal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+dorsal] [-low,+syllabic] [-syllabic]$	[-syllabic] [+labial] [-low,+syllabic] [-syllabic]$	[-syllabic] [+sonorant] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic] [-low,+syllabic] [-syllabic]$
		No change					0	0	-0.05704032145507455	0	-0.21093316712502927	-0.00016039862118093828	-0.15804825732828764	0	-0.1148197710534328	-0.11062299832954524	0	-0.12414886652073638	-0.1344069837500058	0	0	-0.3018691317577774	0	0	-0.10559376206362615	-0.05024574732237769	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055733751083	0	0	-0.05704032145507455	0	-0.21093316712502927	-0.00016039862118093828	-0.15804825732828764	0	-0.1148197710534328	-0.11062299832954524	0	-0.12414886652073638	-0.1344069837500058	0	0	-0.3018691317577774	0	0	-0.10559376206362615	-0.05024574732237769	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055733751083
		Delete [l] at -2, Mutate [a] at -4 to [o]					-0.6742095218311073	-6.302808049189747	0	-7.795532321899827	0	-6.831179775425893	0	-5.549093734975305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.6164198606041307	-1.073817899857037	-1.7176459054224704	-0.9429411958234356	-0.3685583816948304	-0.39229310135858875	-0.1836504275739694	-0.3025911443438292	-0.8751567839568414	-0.06434552550883754	-1.726583391081886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Delete [j] at -2, Mutate [a] at -4 to [o]					0	-6.595864233421764	0	-8.06528881594523	-8.382739578854887	0	0	-5.822100306115644	0	0	0	0	0	0	-0.5370469277767593	0	0	-0.671669135812424	0	0	0	0	-4.597498569078089	0	-2.233729224792606	-1.926764780463532	-1.7017628650577914	-0.875523770613153	-0.19678699799867524	-0.39966381293853165	-0.24630054108135102	-0.2610125727768495	-0.7775597059175219	-0.11365315038317787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a l	-0.642	No change	k ʁ a l	-0.642	-1.284	0.7534318233371681	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	k ʁ o	-1.727	-2.4010000000000002	0.24656817666283198	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a l	-8.383	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.383	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.697	No change	d a l	-0.697	-1.394	0.7324326341407803	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	d o	-1.727	-2.4010000000000002	0.2675673658592197	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a l	-8.383	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.383	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
