base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	[+back,+syll] ([-syll] ?)*n a k$	[+back,+syll] ([-syll] ?|[0back,+syll] ?)*n a k$	[-back,+round,+syll] ([-syll] ?)*n a k$	[-back,+round,+syll] ([-syll] ?|[0back,+syll] ?)*n a k$	[-back,+syll] ([-syll] ?)*n a k$	[-back,-high,+syll] ([-syll] ?)*n a k$	[-back,+low,+syll] ([-syll] ?)*n a k$	[-back,+syll] ([-syll] ?)* [-back,+syll] ([-syll] ?)*n a k$	[+back,+syll] ([-syll] ?)*n e k$	[+back,+syll] ([-syll] ?|[0back,+syll] ?)*n e k$	[-back,+round,+syll] ([-syll] ?)*n e k$	[-back,+round,+syll] ([-syll] ?|[0back,+syll] ?)*n e k$	[-back,+syll] ([-syll] ?)*n e k$	[-back,-high,+syll] ([-syll] ?)*n e k$	[-back,+low,+syll] ([-syll] ?)*n e k$	[-back,+syll] ([-syll] ?)* [-back,+syll] ([-syll] ?)*n e k$	[+back,+syll] ([-syll] ?)*n a k$	[+back,+syll] ([-syll] ?|[0back,+syll] ?)*n a k$	[-back,+round,+syll] ([-syll] ?)*n a k$	[-back,+round,+syll] ([-syll] ?|[0back,+syll] ?)*n a k$	[-back,+syll] ([-syll] ?)*n a k$	[-back,-high,+syll] ([-syll] ?)*n a k$	[-back,+low,+syll] ([-syll] ?)*n a k$	[-back,+syll] ([-syll] ?)* [-back,+syll] ([-syll] ?)*n a k$	[+back,+syll] ([-syll] ?)*n e k$	[+back,+syll] ([-syll] ?|[0back,+syll] ?)*n e k$	[-back,+round,+syll] ([-syll] ?)*n e k$	[-back,+round,+syll] ([-syll] ?|[0back,+syll] ?)*n e k$	[-back,+syll] ([-syll] ?)*n e k$	[-back,-high,+syll] ([-syll] ?)*n e k$	[-back,+low,+syll] ([-syll] ?)*n e k$	[-back,+syll] ([-syll] ?)* [-back,+syll] ([-syll] ?)*n e k$
		Insert [n a k] at -1					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9478021954086948	-6.090744610892737	-0.9478021954086948	-0.6628308243985703	0	-0.27500820209900656	0	0	0	0	0	0	0	0
		Insert [n e k] at -1					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.094801913411367	-0.8899803235927435	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
o g e r	0	Insert [n a k] at -1	o g e r n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o g e r	0	Insert [n e k] at -1	o g e r n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d I m	0	Insert [n a k] at -1	d I m n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d I m	0	Insert [n e k] at -1	d I m n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a v e p p	0	Insert [n a k] at -1	m a v e p p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a v e p p	0	Insert [n e k] at -1	m a v e p p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sz a n l E p	0	Insert [n a k] at -1	sz a n l E p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz a n l E p	0	Insert [n e k] at -1	sz a n l E p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
t i b b	0	Insert [n a k] at -1	t i b b n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t i b b	0	Insert [n e k] at -1	t i b b n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l z i s	0	Insert [n a k] at -1	a l z i s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l z i s	0	Insert [n e k] at -1	a l z i s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d oe s	0	Insert [n e k] at -1	d oe s n e k	0	0	0.9998247286628285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
d oe s	0	Insert [n a k] at -1	d oe s n a k	-8.649	-8.649	0.00017527133717151478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
sz l i n d	0	Insert [n a k] at -1	sz l i n d n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz l i n d	0	Insert [n e k] at -1	sz l i n d n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs a r m i r t	0	Insert [n a k] at -1	cs a r m i r t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs a r m i r t	0	Insert [n e k] at -1	cs a r m i r t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
v I sz t	0	Insert [n a k] at -1	v I sz t n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v I sz t	0	Insert [n e k] at -1	v I sz t n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b i k t	0	Insert [n a k] at -1	b i k t n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b i k t	0	Insert [n e k] at -1	b i k t n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m O n k e t	0	Insert [n a k] at -1	m O n k e t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m O n k e t	0	Insert [n e k] at -1	m O n k e t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m a r m a t i t	0	Insert [n a k] at -1	m a r m a t i t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a r m a t i t	0	Insert [n e k] at -1	m a r m a t i t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
o l A z m i m	0	Insert [n a k] at -1	o l A z m i m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o l A z m i m	0	Insert [n e k] at -1	o l A z m i m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k a l E g	0	Insert [n a k] at -1	k a l E g n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a l E g	0	Insert [n e k] at -1	k a l E g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cs o g e ny	0	Insert [n a k] at -1	cs o g e ny n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs o g e ny	0	Insert [n e k] at -1	cs o g e ny n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
v a t a t i n c	0	Insert [n a k] at -1	v a t a t i n c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v a t a t i n c	0	Insert [n e k] at -1	v a t a t i n c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k a z e c	0	Insert [n a k] at -1	k a z e c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a z e c	0	Insert [n e k] at -1	k a z e c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
E t t	0	Insert [n a k] at -1	E t t n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E t t	0	Insert [n e k] at -1	E t t n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o s E l	0	Insert [n a k] at -1	o s E l n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o s E l	0	Insert [n e k] at -1	o s E l n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sz o n g e n s	0	Insert [n a k] at -1	sz o n g e n s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz o n g e n s	0	Insert [n e k] at -1	sz o n g e n s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cs o g e k	0	Insert [n a k] at -1	cs o g e k n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs o g e k	0	Insert [n e k] at -1	cs o g e k n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f o k r e g	0	Insert [n a k] at -1	f o k r e g n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f o k r e g	0	Insert [n e k] at -1	f o k r e g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A n t u l g e l l	0	Insert [n a k] at -1	A n t u l g e l l n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A n t u l g e l l	0	Insert [n e k] at -1	A n t u l g e l l n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f o z d e n e	0	Insert [n a k] at -1	f o z d e n e n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f o z d e n e	0	Insert [n e k] at -1	f o z d e n e n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f a m a r e h n	0	Insert [n a k] at -1	f a m a r e h n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a m a r e h n	0	Insert [n e k] at -1	f a m a r e h n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
s p A m e ly i n c	0	Insert [n a k] at -1	s p A m e ly i n c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s p A m e ly i n c	0	Insert [n e k] at -1	s p A m e ly i n c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A g E j t i k	0	Insert [n a k] at -1	A g E j t i k n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
