item	nak	nek	naknek
a k t í v	578	0	1.000
e k s p a n z í v	9	0	1.000
i m p r o d u k t í v	16	0	1.000
i n a k t í v	78	0	1.000
i n d u k t í v	10	0	1.000
m a s sz í v	167	0	1.000
r e a k t í v	12	0	1.000
r e k u r z í v	56	0	1.000
v a l ó d i	607	0	1.000
t e l o r	117	0	1.000
a d n á	4310	0	1.000
g r é p f r ú t	5	0	1.000
l u i z	34	0	1.000
p i t a g o r a s	19	0	1.000
f a z é k	76	0	1.000
p o cs é k	75	0	1.000
á r i s	479	0	1.000
a f e k t á l t	35	0	1.000
a f i n i t á s	36	0	1.000
d i f ú z i ó	40	0	1.000
m a f i a	525	0	1.000
m u f	16	0	1.000
p u f	11	0	1.000
p u f a d t	15	0	1.000
a u t ó é	7	0	1.000
k u ty á é	10	0	1.000
m á s é	59	0	1.000
m o t o r é	14	0	1.000
l á b á n	112	0	1.000
sz á n j a	32	0	1.000
f o n a t	11	0	1.000
h a s a d	289	0	1.000
s o d o r	567	0	1.000
v a r r a t	67	0	1.000
a b e r r á l t	19	0	1.000
a b l a k	1760	0	1.000
a b o r t u sz	149	0	1.000
a b r a k	42	0	1.000
á b r á n d	225	0	1.000
á b r á n d o z á s	96	0	1.000
á b r á n d o z ó	23	0	1.000
á b r á z a t	22	0	1.000
á b r á z o l	2750	0	1.000
á b r á z o l á s	518	0	1.000
á b r á z o l t	23	0	1.000
a b r o n cs	68	0	1.000
a b r o sz	67	0	1.000
a b sz o l ú t	299	0	1.000
a b sz o r p c i ó	17	0	1.000
a b sz t r a k c i ó	161	0	1.000
a b sz u r d	1760	0	1.000
a b sz u r d i t á s	98	0	1.000
a b sz u r d u m	193	0	1.000
a c é l	168	0	1.000
a c é l o s	53	0	1.000
a d a g	298	0	1.000
a d a g o l ó	26	0	1.000
a d a k o z á s	80	0	1.000
a d a k o z ó	166	0	1.000
a d á s	650	0	1.000
a d á s o k	120	0	1.000
a d a t o k	6590	0	1.000
á d á z	16	0	1.000
a d e k v á t	177	0	1.000
a d e p t u s	44	0	1.000
a d h a t ó	18	0	1.000
a d j u n k t u s	178	0	1.000
a d ó	3160	0	1.000
a d ó d ó	52	0	1.000
a d o g a t ó	32	0	1.000
a d ó k	646	0	1.000
a d o m á ny	480	0	1.000
a d ó s	653	0	1.000
a d ó s s á g	280	0	1.000
a d o t t	998	0	1.000
a d o t t s á g	452	0	1.000
a d o t t s á g o k	1560	0	1.000
a d ó z á s	133	0	1.000
a d r e n a l i n	28	0	1.000
a d sz o r p c i ó	19	0	1.000
a d u	65	0	1.000
a e r o sz o l	19	0	1.000
a f g á n	38	0	1.000
a f g a n i sz t á n	4280	0	1.000
a f r i k a	556	0	1.000
á g	908	0	1.000
a g a n cs	20	0	1.000
a g á r	79	0	1.000
á g a z a t	1930	0	1.000
a g g á ly	38	0	1.000
a g g a sz t ó	1920	0	1.000
a g g o d a l m a s	80	0	1.000
a g g o d a l o m	246	0	1.000
a g g ó d á s	67	0	1.000
a g g ó d ó	51	0	1.000
a g g r e g á t u m	15	0	1.000
a g i t á t o r	62	0	1.000
a g r e s sz i ó	543	0	1.000
a g r e s sz o r	132	0	1.000
á g r ó l sz a k a d t	16	0	1.000
a g r o n ó m u s	35	0	1.000
a gy	1720	0	1.000
á gy	2180	0	1.000
a gy a	1790	0	1.000
a gy a g	116	0	1.000
a gy a r	30	0	1.000
á gy a s	38	0	1.000
a gy ú	25	0	1.000
á gy ú	165	0	1.000
á gy ú z á s	18	0	1.000
á h í t a t	154	0	1.000
a j a k	55	0	1.000
a j á n l á s	703	0	1.000
a j á n l a t	5900	0	1.000
a j á n l a t o s	226	0	1.000
a j á n l ó	175	0	1.000
a j k	27	0	1.000
a j k a k	186	0	1.000
a j k ú	29	0	1.000
á j t a t o s	13	0	1.000
á j t a t o s s á g	63	0	1.000
a j t ó	1950	0	1.000
a j t ó k	191	0	1.000
á j u l á s	38	0	1.000
á j u l t	20	0	1.000
a k á c	41	0	1.000
a k a d á ly	660	0	1.000
a k a d á ly o k	258	0	1.000
a k a d á ly o z	481	0	1.000
a k a d o z ó	5	0	1.000
a k a r á s	569	0	1.000
a k a r a t o d	187	0	1.000
a k a r a t o s	29	0	1.000
a k a r a t ú	14	0	1.000
