base	type	position	size	tr
 б е в	TR	0	monosyllabic	TRUE
би б е в	TR	0	disyllabic	TRUE
зи б о в	TR	0	disyllabic	TRUE
 б о в	TR	0	monosyllabic	TRUE
ла б е в	TR	0	disyllabic	TRUE
 б е в	TR	0	monosyllabic	TRUE
ну б о в	TR	0	disyllabic	TRUE
 б о в	TR	0	monosyllabic	TRUE
ба б о в	TR	0	disyllabic	TRUE
ти б е в	TR	0	disyllabic	TRUE
жу б е в	TR	0	disyllabic	TRUE
ки б е в	TR	0	disyllabic	TRUE
ба б о в	TR	0	disyllabic	TRUE
ку б е в	TR	0	disyllabic	TRUE
 б е в	TR	0	monosyllabic	TRUE
та б е в	TR	0	disyllabic	TRUE
 б е д	TT	0	monosyllabic	FALSE
 б о д	TT	0	monosyllabic	FALSE
ла б е д	TT	0	disyllabic	FALSE
га б е д	TT	0	disyllabic	FALSE
ши б о д	TT	0	disyllabic	FALSE
 б о д	TT	0	monosyllabic	FALSE
зу б о д	TT	0	disyllabic	FALSE
ба б о д	TT	0	disyllabic	FALSE
зи б е д	TT	0	disyllabic	FALSE
ли б о д	TT	0	disyllabic	FALSE
 б о д	TT	0	monosyllabic	FALSE
ги б о д	TT	0	disyllabic	FALSE
су б о д	TT	0	disyllabic	FALSE
ра б о д	TT	0	disyllabic	FALSE
 б е дб	TTT	1	monosyllabic	FALSE
 бд о б	TTT	2	monosyllabic	FALSE
 бд е б	TTT	2	monosyllabic	FALSE
ну б е дб	TTT	1	disyllabic	FALSE
 б о дв	TTR	1	monosyllabic	TRUE
ру б о дв	TTR	1	disyllabic	TRUE
му бд о в	TTR	2	disyllabic	TRUE
ба бд е в	TTR	2	disyllabic	TRUE
 б е дв	TTR	1	monosyllabic	TRUE
 бд о в	TTR	2	monosyllabic	TRUE
шу бд о в	TTR	2	disyllabic	TRUE
 бд о з	TTT	2	monosyllabic	FALSE
ру бд е з	TTT	2	disyllabic	FALSE
 бд о з	TTT	2	monosyllabic	FALSE
 бд е з	TTT	2	monosyllabic	FALSE
 б е дз	TTT	1	monosyllabic	FALSE
 бд е з	TTT	2	monosyllabic	FALSE
 б е дз	TTT	1	monosyllabic	FALSE
 бд е з	TTT	2	monosyllabic	FALSE
бу б е др	TTR	1	disyllabic	TRUE
жу б о др	TTR	1	disyllabic	TRUE
ки б е др	TTR	1	disyllabic	TRUE
 бд о р	TTR	2	monosyllabic	TRUE
шу бд е р	TTR	2	disyllabic	TRUE
 б о др	TTR	1	monosyllabic	TRUE
 г е б	TT	0	monosyllabic	FALSE
 г о б	TT	0	monosyllabic	FALSE
му г е б	TT	0	disyllabic	FALSE
бу г о б	TT	0	disyllabic	FALSE
ба г е б	TT	0	disyllabic	FALSE
ха г е б	TT	0	disyllabic	FALSE
 г о б	TT	0	monosyllabic	FALSE
 г о б	TT	0	monosyllabic	FALSE
 г о б	TT	0	monosyllabic	FALSE
ку г о б	TT	0	disyllabic	FALSE
бу гб е в	TTR	2	disyllabic	TRUE
ки г о бв	TTR	1	disyllabic	TRUE
 гб о в	TTR	2	monosyllabic	TRUE
ли гб е в	TTR	2	disyllabic	TRUE
ги г е бв	TTR	1	disyllabic	TRUE
ми гб е в	TTR	2	disyllabic	TRUE
 г е бв	TTR	1	monosyllabic	TRUE
хи г о бв	TTR	1	disyllabic	TRUE
хи г о бв	TTR	1	disyllabic	TRUE
пи г о бв	TTR	1	disyllabic	TRUE
 г о бв	TTR	1	monosyllabic	TRUE
гу гб е в	TTR	2	disyllabic	TRUE
ли гб о д	TTT	2	disyllabic	FALSE
ку гб о д	TTT	2	disyllabic	FALSE
шу гб о д	TTT	2	disyllabic	FALSE
жу г е бд	TTT	1	disyllabic	FALSE
га гб е д	TTT	2	disyllabic	FALSE
 гб е д	TTT	2	monosyllabic	FALSE
 гб о д	TTT	2	monosyllabic	FALSE
 г е бд	TTT	1	monosyllabic	FALSE
ту г о бд	TTT	1	disyllabic	FALSE
жа г о в	TR	0	disyllabic	TRUE
лу г е в	TR	0	disyllabic	TRUE
ша г о в	TR	0	disyllabic	TRUE
 г о в	TR	0	monosyllabic	TRUE
 г о в	TR	0	monosyllabic	TRUE
 г е в	TR	0	monosyllabic	TRUE
 г о в	TR	0	monosyllabic	TRUE
ши г о ж	TT	0	disyllabic	FALSE
 г е ж	TT	0	monosyllabic	FALSE
 г е ж	TT	0	monosyllabic	FALSE
ма г е ж	TT	0	disyllabic	FALSE
ху г е ж	TT	0	disyllabic	FALSE
 г о ж	TT	0	monosyllabic	FALSE
жу г о ж	TT	0	disyllabic	FALSE
 г о ж	TT	0	monosyllabic	FALSE
 г о ж	TT	0	monosyllabic	FALSE
ри г е ж	TT	0	disyllabic	FALSE
шу г е ж	TT	0	disyllabic	FALSE
 г е ж	TT	0	monosyllabic	FALSE
хи г е ж	TT	0	disyllabic	FALSE
ши г е ж	TT	0	disyllabic	FALSE
 г о ж	TT	0	monosyllabic	FALSE
ти г е ж	TT	0	disyllabic	FALSE
ба г о жб	TTT	1	disyllabic	FALSE
жу г о жб	TTT	1	disyllabic	FALSE
 гж о б	TTT	2	monosyllabic	FALSE
 гж о б	TTT	2	monosyllabic	FALSE
 г е жб	TTT	1	monosyllabic	FALSE
 гж е б	TTT	2	monosyllabic	FALSE
ху гж е б	TTT	2	disyllabic	FALSE
гу г е жб	TTT	1	disyllabic	FALSE
пу гж о б	TTT	2	disyllabic	FALSE
шу гж е в	TTR	2	disyllabic	TRUE
 г о жв	TTR	1	monosyllabic	TRUE
 г е жв	TTR	1	monosyllabic	TRUE
 гж е в	TTR	2	monosyllabic	TRUE
 г о жв	TTR	1	monosyllabic	TRUE
си г о жв	TTR	1	disyllabic	TRUE
 г е жв	TTR	1	monosyllabic	TRUE
 г о жв	TTR	1	monosyllabic	TRUE
 гж е г	TTT	2	monosyllabic	FALSE
жу г о жг	TTT	1	disyllabic	FALSE
бу гж е г	TTT	2	disyllabic	FALSE
жа г е жг	TTT	1	disyllabic	FALSE
пу г е жг	TTT	1	disyllabic	FALSE
 гж е г	TTT	2	monosyllabic	FALSE
 гж о г	TTT	2	monosyllabic	FALSE
 гж е г	TTT	2	monosyllabic	FALSE
бу г е жг	TTT	1	disyllabic	FALSE
 г е жг	TTT	1	monosyllabic	FALSE
 гж е г	TTT	2	monosyllabic	FALSE
 г о жд	TTT	1	monosyllabic	FALSE
 г о жд	TTT	1	monosyllabic	FALSE
ма г е жд	TTT	1	disyllabic	FALSE
ри гж о д	TTT	2	disyllabic	FALSE
 гж е д	TTT	2	monosyllabic	FALSE
 гж е д	TTT	2	monosyllabic	FALSE
 гж е д	TTT	2	monosyllabic	FALSE
 гж о д	TTT	2	monosyllabic	FALSE
 гж е з	TTT	2	monosyllabic	FALSE
жу гж е з	TTT	2	disyllabic	FALSE
 гж е з	TTT	2	monosyllabic	FALSE
