sh o v	sh v a
m o x	m x a
b a g o r	b a g r a
k o s tj o r	k o s t r a
k o tj o l	k o t l a

a g nj e ts	a g n ts a
b a l o vj e nj	b a l o v nj a
b u bj e n	b u b n a
v i m i sj e l	v i m i s l a
dj e nj	d nj a

lj e v	lj v a
lj o d	lj d a
m a lj e ts	m a lj ts a
u v a lj e nj	u v a lj nj a

x lj e v	x lj e v a
z a sj e v	z a sj e v a
p r o sj i tj e lj	p r o sj i tj e lj a
r a z bj e g	r a z bj e g a

s x o d	s x o d a
u g lj e v o z	u g lj e v o z a
rj e z o l	rj e z o l a
t r o k	t r o k a

sh l a m	sh l a m a
bj u v a r	bj u v a r a
a s	a s a
t u m a n	t u m a n a

n a s t o vj i k	n a s t o vj i k a
pj i r	pj i r a
kj i t	kj i t a
sh o r nj i k	sh o r nj i k a

rj e k r u t	rj e k r u t a
k a r a k u lj	k a r a k u lj a
n a d u v	n a d u v a
k o p u n	k o p u n a

sh a r zh	sh a r zh a
s tj i lj b	s tj i lj b a
p u p s	p u p s a
e t r u s k	e t r u s k a
kj i o s k	kj i o s k a
r o m b	r o m b a
sh o l k	sh o l k a
sh e j x	sh e j x a
n a j e z d	n a j e z d a
s mj e r d	s mj e r d a
sj e g mj e n t	sj e g mj e n t a
