base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
		Mutate the segment(s) at last nucleus to [+glide]					0	0	0	-4.852691455447766	-5.2611753460315684	0
		Insert [k] at -1					-2.3914446762620254	-2.093915854531658	-4.5230443189699985	0	-1.4559877580295422	0
		Insert [o j] at -1					0	-6.5184756303773765	-4.652014115695493	-6.673414893686851	-2.302780836572826	0
		Insert [i g] at -1					0	-6.518475630377376	-4.652014115695493	-6.673414893686851	-2.302780836572826	0
		Mutate the segment(s) at last nucleus to [+high]					0	-6.518700330542282	-4.652236854877997	-4.862962212779734	-5.271472941609032	-4.828745471332697
		Insert [w] at -1					-6.910152567586768	-6.613322679073461	-4.477942288506199	0	-7.082357301967261	0
		Insert [e] at -1					-6.910152567586768	-6.613322679073461	-4.477942288506199	0	-7.082357301967261	0
		Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-4.862746062173939	-5.27125622646704	-4.828529379324793
		Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-1.6231301496599813	-7.192064445879636	0
		Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]					-6.910399920698827	-6.613569857187312	-4.478186316219044	0	0	0
		Insert [g] at -1					-6.91138994791314	-6.614559184343204	-4.479163041439033	-7.3081259628792345	-7.22182490427579	0
		Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]					0	-6.518475630377376	-4.652014115695493	0	-6.518475630377376	-4.652014115695493
		Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]					0	-6.518475630377376	-4.652014115695493	0	-6.518475630377376	-4.652014115695493
		Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-7.313991043530981	-6.54914813478686	-4.42094210908974
		Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-6.910152567586768	-6.613322679073461	-4.477942288506199
		Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-6.910152567586768	-6.613322679073461	-4.477942288506199
		Mutate the segment(s) at -4 to [-high,+glide]					-6.910152567586768	-6.613322679073461	-4.477942288506199	-6.910152567586768	-6.613322679073461	-4.477942288506199
		Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]					-6.910399920698827	-6.613569857187312	-4.478186316219044	-7.158099467204669	-6.6565553734418454	-4.35306028876121
		Delete 4 segments at 13,15,17,19					-6.910152567586768	-6.613322679073461	-4.477942288506199	0	-6.707789505047618	-4.6207127828469465
							GK	GK	GK	GP	GP	GP
r e t o l b	0	Mutate the segment(s) at last nucleus to [+glide]	r e t q l b	0	0	0.8805223030813105	0	1	0	0	0	0
r e t o l b	-2.094	Insert [k] at -1	r e t o l b k	0	-2.094	0.1084745146784654	0	1	0	0	0	0
r e t o l b	-6.518	Insert [o j] at -1	r e t o l b o j	0	-6.518	0.001300196305936498	0	1	0	0	0	0
r e t o l b	-6.518	Insert [i g] at -1	r e t o l b i g	0	-6.518	0.001300196305936498	0	1	0	0	0	0
r e t o l b	-6.519	Mutate the segment(s) at last nucleus to [+high]	r e t u l b	0	-6.519	0.0012988967595120677	0	1	0	0	0	0
r e t o l b	-6.613	Insert [w] at -1	r e t o l b w	0	-6.613	0.0011823633301142264	0	1	0	0	0	0
r e t o l b	-6.613	Insert [e] at -1	r e t o l b e	0	-6.613	0.0011823633301142264	0	1	0	0	0	0
r e t o l b	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r e t u l b	0	-6.613	0.0011823633301142264	0	1	0	0	0	0
r e t o l b	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	r e t o l b j	0	-6.613	0.0011823633301142264	0	1	0	0	0	0
r e t o l b	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r e t o l b g	0	-6.614	0.0011811815577687668	0	1	0	0	0	0
r e t o l b	-6.615	Insert [g] at -1	r e t o l b g	0	-6.615	0.0011800009666049613	0	1	0	0	0	0
r e t o l b	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	r e t o l b	-6.518	-13.036	0.0000019198950759737966	0	1	0	0	1	0
r e t o l b	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	r e t o l b	-6.518	-13.036	0.0000019198950759737966	0	1	0	0	1	0
r e t o l b	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	r e o l b	-6.549	-13.162	0.000001692608003244871	0	1	0	0	1	0
r e t o l b	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	r e t o l b	-6.613	-13.226	0.0000015876747692894141	0	1	0	0	1	0
r e t o l b	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r e t o l b	-6.613	-13.226	0.0000015876747692894141	0	1	0	0	1	0
r e t o l b	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	r e t o l b	-6.613	-13.226	0.0000015876747692894141	0	1	0	0	1	0
r e t o l b	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	r e t o l b	-6.657	-13.271	0.00000151781308141063	0	1	0	0	1	0
r e t o l b	-6.613	Delete 4 segments at 13,15,17,19	r e t o l b	-6.708	-13.321000000000002	0.0000014437884639298868	0	1	0	0	1	0
e n t	0	Mutate the segment(s) at last nucleus to [+glide]	y n t	0	0	0.16394724828760185	1	0	0	0	0	0
e n t	0	Mutate the segment(s) at last nucleus to [+high]	i n t	0	0	0.16394724828760185	1	0	0	0	0	0
e n t	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	e n t	0	0	0.16394724828760185	1	0	0	1	0	0
e n t	0	Insert [i g] at -1	e n t i g	0	0	0.16394724828760185	1	0	0	0	0	0
e n t	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	e n d	0	0	0.16394724828760185	1	0	0	1	0	0
e n t	0	Insert [o j] at -1	e n t o j	0	0	0.16394724828760185	1	0	0	0	0	0
e n t	-2.391	Insert [k] at -1	e n t k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
e n t	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	i n g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	e n t j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.91	Delete 4 segments at 13,15,17,19	e n t	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
e n t	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	e n	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	e n k g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.91	Insert [e] at -1	e n t e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.91	Insert [w] at -1	e n t w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
e n t	-6.911	Insert [g] at -1	e n t g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
e n t	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	e n t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
e n t	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	e n t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
e n t	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	e n k	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
e n t	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	e n t	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
p r e	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at last nucleus to [+glide]	p r y	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	p r i g	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at last nucleus to [+high]	p r i	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	p r e j	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Delete 4 segments at 13,15,17,19	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [k] at -1	p r e k	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [g] at -1	p r e g	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [e] at -1	p r e e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [w] at -1	p r e w	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at -4 to [-high,+glide]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	p r	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	p r e	0	0	0.05881477916164477	0	0	0	0	0	0
p r e	0	Insert [o j] at -1	p r e o j	-6.673	-6.673	0.00007437712601932347	0	0	0	1	0	0
p r e	0	Insert [i g] at -1	p r e i g	-6.673	-6.673	0.00007437712601932347	0	0	0	1	0	0
s e n d r	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s i n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at last nucleus to [+glide]	s y n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s e n d r g	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at last nucleus to [+high]	s i n d r	0	0	0.055553499621989806	0	0	0	0	0	0
