base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	F: Ident back	F: Ident labial	F: Ident coronal	F: Ident dorsal
		Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]					-2.550882470200308	-4.309806765318784	-3.021403820341532	-2.916887007222449	0	-2.9210305933242897	-3.021403820341532	-2.7978796049510555	0	-1.3887761719944711	0	-0.1190074022713718	-0.9312588710950425	-2.3070869542234393	-1.7897147345359574	-2.285795874774896	0	-2.0027198110953446	-1.2316890858055616	-0.6310911324475771	-5.54144292616396	-0.8683584414541609	-0.7335421691148524	-1.0955802497131766	0	-1.4387285127692728	-1.0561725654211098	-1.1902156250616944	-0.04796062116943184	-2.4944935739933904	-4.271864446151082	-2.9912150268962283	-2.8940691560423093	0	-2.901094485831152	-2.9912150268962283	-2.7690171063386657	0	-1.370769960319964	0	-0.1250520497036587	0	-2.289027383946942	-1.7730656968981957	-2.261341222540032	0	-1.9828370622041542	-1.2181493299980306	-0.6327279335022777	0	-0.8611496348514671	-0.7268157890826891	-1.0834899531923559	0	-1.4278777490954913	-1.0462499078155176	-1.1778512693477077	0	0	0	0	0
		Insert [i] at -1					0	0	-0.4077394476522964	-0.7338443887289312	-0.10860054108387349	-0.2453795801691534	-0.4077394476522964	-0.34565003932874944	-0.36512625037150237	0	0	-0.3881943494001564	-0.02865401179567054	0	-0.00010992279339849809	-0.6176974797874359	-1.2337839648652345	-0.15063707915070765	-0.6334416063579864	-0.11614690894151385	-0.0023326299162179515	-0.3349893847169768	-0.000051113561931437346	-1.0226119536509892	-0.948481745158655	0	-0.14635727855063302	-0.012354334387484504	-0.28530221970541353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]					-0.5602477210523108	-0.8795650681011113	-0.1550194872454216	-0.002195133723193854	-1.1535057866741352	-0.0004826171686134195	-0.1550194872454216	-0.228638692923619	0	-3.040954225008103	0	-0.0007708457549393498	-4.564625863784547	-0.2604063579061144	-0.30439721919460494	-0.0009977599531796888	-6.235109128451868	-0.6191587102005809	-0.04046720275354631	-0.04575912321638619	0	-0.04890366582491454	-0.20669396749385133	-0.0005026442303235068	-3.312645110934445	-1.3427046214834808	-0.10062638510619887	-0.14870494648456808	-2.922464017517459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
b a n ɯ k	0	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	b a n ɯ i	0	0	0.9343601725415248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
b a n ɯ k	-2.656	Insert [i] at -1	b a n ɯ k i	0	-2.656	0.0656187834209598	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b a n ɯ k	-10.701	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	b a n ɯ g i	0	-10.701	0.000021044037515484453	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o l k	-0.476	Insert [i] at -1	b o l k i	0	-0.476	0.7749198291738688	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o l k	-1.714	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	b o l g i	0	-1.714	0.22469851666669105	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o l k	-8.092	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	b o l i	0	-8.092	0.0003816541594400787	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
b ø l y ʧ	-0.816	Insert [i] at -1	b ø l y ʧ i	0	-0.816	0.5012499749755762	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ø l y ʧ	-0.821	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	b ø l y ʤ i	0	-0.821	0.4987499802957178	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ø l y ʧ	-8.566	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	b ø l y ʧ	-8.482	-17.048000000000002	4.4728705944762284e-8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
b u n t	-0.396	Insert [i] at -1	b u n t i	0	-0.396	0.8406403063519369	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u n t	-2.059	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	b u n d i	0	-2.059	0.15935969356501417	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u n t	-11.784	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	b u n t	-11.65	-23.434	8.304890971108043e-11	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b y n y t	-0.58	Insert [i] at -1	b y n y t i	0	-0.58	0.6477126540832799	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b y n y t	-1.189	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	b y n y d i	0	-1.189	0.352287344766495	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b y n y t	-10.406	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	b y n y t	-10.323	-20.729	1.15022516735982e-9	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ʤ a k	-1.993	Insert [i] at -1	ʤ a k i	0	-1.993	0.9567651005382112	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʤ a k	-2.599	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	ʤ a i	-2.494	-5.093	0.04310150465723854	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ʤ a k	-10.871	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	ʤ a g i	0	-10.871	0.00013339480455026387	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʧ i n t	-0.396	Insert [i] at -1	ʧ i n t i	0	-0.396	0.8406403063519369	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
