item	nak	nek	naknek
a k t I v	578	0	1.000
e k s p a n z I v	9	0	1.000
i m p r o d u k t I v	16	0	1.000
i n a k t I v	78	0	1.000
i n d u k t I v	10	0	1.000
m a s sz I v	167	0	1.000
r e a k t I v	12	0	1.000
r e k u r z I v	56	0	1.000
v a l O d i	607	0	1.000
t e l o r	117	0	1.000
a d n A	4310	0	1.000
g r E p f r U t	5	0	1.000
l u i z	34	0	1.000
p i t a g o r a s	19	0	1.000
f a z E k	76	0	1.000
p o cs E k	75	0	1.000
A r i s	479	0	1.000
a f e k t A l t	35	0	1.000
a f i n i t A s	36	0	1.000
d i f U z i O	40	0	1.000
m a f i a	525	0	1.000
m u f	16	0	1.000
p u f	11	0	1.000
p u f a d t	15	0	1.000
a u t O E	7	0	1.000
k u ty A E	10	0	1.000
m A s E	59	0	1.000
m o t o r E	14	0	1.000
l A b A n	112	0	1.000
sz A n j a	32	0	1.000
f o n a t	11	0	1.000
h a s a d	289	0	1.000
s o d o r	567	0	1.000
v a r r a t	67	0	1.000
a b e r r A l t	19	0	1.000
a b l a k	1760	0	1.000
a b o r t u sz	149	0	1.000
a b r a k	42	0	1.000
A b r A n d	225	0	1.000
A b r A n d o z A s	96	0	1.000
A b r A n d o z O	23	0	1.000
A b r A z a t	22	0	1.000
A b r A z o l	2750	0	1.000
A b r A z o l A s	518	0	1.000
A b r A z o l t	23	0	1.000
a b r o n cs	68	0	1.000
a b r o sz	67	0	1.000
a b sz o l U t	299	0	1.000
a b sz o r p c i O	17	0	1.000
a b sz t r a k c i O	161	0	1.000
a b sz u r d	1760	0	1.000
a b sz u r d i t A s	98	0	1.000
a b sz u r d u m	193	0	1.000
a c E l	168	0	1.000
a c E l o s	53	0	1.000
a d a g	298	0	1.000
a d a g o l O	26	0	1.000
a d a k o z A s	80	0	1.000
a d a k o z O	166	0	1.000
a d A s	650	0	1.000
a d A s o k	120	0	1.000
a d a t o k	6590	0	1.000
A d A z	16	0	1.000
a d e k v A t	177	0	1.000
a d e p t u s	44	0	1.000
a d h a t O	18	0	1.000
a d j u n k t u s	178	0	1.000
a d O	3160	0	1.000
a d O d O	52	0	1.000
a d o g a t O	32	0	1.000
a d O k	646	0	1.000
a d o m A ny	480	0	1.000
a d O s	653	0	1.000
a d O s s A g	280	0	1.000
a d o t t	998	0	1.000
a d o t t s A g	452	0	1.000
a d o t t s A g o k	1560	0	1.000
a d O z A s	133	0	1.000
a d r e n a l i n	28	0	1.000
a d sz o r p c i O	19	0	1.000
a d u	65	0	1.000
a e r o sz o l	19	0	1.000
a f g A n	38	0	1.000
a f g a n i sz t A n	4280	0	1.000
a f r i k a	556	0	1.000
A g	908	0	1.000
a g a n cs	20	0	1.000
a g A r	79	0	1.000
A g a z a t	1930	0	1.000
a g g A ly	38	0	1.000
a g g a sz t O	1920	0	1.000
a g g o d a l m a s	80	0	1.000
a g g o d a l o m	246	0	1.000
a g g O d A s	67	0	1.000
a g g O d O	51	0	1.000
a g g r e g A t u m	15	0	1.000
a g i t A t o r	62	0	1.000
a g r e s sz i O	543	0	1.000
a g r e s sz o r	132	0	1.000
A g r O l sz a k a d t	16	0	1.000
a g r o n O m u s	35	0	1.000
a gy	1720	0	1.000
A gy	2180	0	1.000
a gy a	1790	0	1.000
a gy a g	116	0	1.000
a gy a r	30	0	1.000
A gy a s	38	0	1.000
a gy U	25	0	1.000
A gy U	165	0	1.000
A gy U z A s	18	0	1.000
A h I t a t	154	0	1.000
a j a k	55	0	1.000
a j A n l A s	703	0	1.000
a j A n l a t	5900	0	1.000
a j A n l a t o s	226	0	1.000
a j A n l O	175	0	1.000
